,y,x,image,flux_e,flux
0,1028.92150873 pix,1019.98557515 pix,0001,529.7803654407464,290989.38835267647
1,1029.7900709 pix,1019.17889753 pix,0002,527.928082017677,288424.6861107416
2,1029.16157592 pix,1019.1650955 pix,0003,532.0817168456975,295515.6473629769
3,1029.08154937 pix,1019.10360908 pix,0004,537.9693635721524,310276.96742605435
4,1029.00314538 pix,1019.17710692 pix,0005,546.933883422294,329622.42936479894
5,1029.08888358 pix,1017.22160758 pix,0006,548.9903827754932,342516.10105551453
6,1028.9451856 pix,1017.82157863 pix,0007,554.8981669682213,356394.8991473876
7,1028.29034862 pix,1017.8238528 pix,0008,557.8983084973256,364991.83711799176
8,1028.92301083 pix,1017.00588167 pix,0009,559.1645553919856,368911.82948553714
9,1028.2693758 pix,1017.14787888 pix,0010,549.8946033291002,341912.6892641796
10,1028.96463443 pix,1016.86500593 pix,0011,540.4083826528075,315791.77890279156
11,1028.85623237 pix,1016.86699783 pix,0012,525.4018465407688,268306.5060004643
12,1029.82227017 pix,1016.85353499 pix,0013,532.4302347607436,290911.9676069049
13,1029.13355331 pix,1017.81568216 pix,0014,524.1949236771555,261210.79831522272
14,1029.97597433 pix,1017.84839559 pix,0015,523.0907375408015,263869.1569769897
15,1030.09688322 pix,1016.96254725 pix,0016,525.6878827091797,271594.4106281358
16,1030.24018981 pix,1016.32470605 pix,0017,526.6761817744266,267026.2705022593
17,1030.81342969 pix,1016.05432041 pix,0018,519.2416968153901,242072.31285013846
18,1030.81828063 pix,1015.87089317 pix,0019,518.2625977174604,240267.5104177005
19,1030.22751008 pix,1015.25157467 pix,0020,519.3184296176381,239425.65942262328
20,1030.21191862 pix,1015.2280281 pix,0021,516.6559734777405,227928.69592895912
21,1030.94310161 pix,1015.83538848 pix,0022,505.363129118351,203497.39123910145
22,1029.05760936 pix,1014.98060608 pix,0023,517.833747089678,234295.69274127408
23,1030.26028743 pix,1015.01309334 pix,0024,508.5063843765556,207255.46437000818
24,1030.24802017 pix,1014.2369124 pix,0025,499.94174442193633,177416.46911610695
25,1030.8384047 pix,1013.94406153 pix,0026,507.6151502259073,201946.5331579028
26,1031.97357771 pix,1014.14155249 pix,0027,509.56448558121116,204978.02650983603
27,1031.88550839 pix,1013.20517568 pix,0028,518.8967004120316,228853.74942156146
28,1031.03048068 pix,1013.18620189 pix,0029,511.9011359983069,217162.85377784976
29,1032.11127816 pix,1014.05749039 pix,0030,513.5790571416235,221757.53322341206
30,1031.95635598 pix,1013.83358507 pix,0031,513.2973657632767,222318.2957481587
31,1031.93754067 pix,1013.21538258 pix,0032,522.7447732383888,249162.5751522407
32,1032.12732828 pix,1014.02926334 pix,0033,527.0570018382627,260171.9160865892
33,1031.09299286 pix,1013.94844741 pix,0034,525.7476773812937,263647.3197879622
34,1032.97757553 pix,1014.13478927 pix,0035,522.6165317394726,256953.8200518798
35,1031.89919476 pix,1013.21940877 pix,0036,519.1720968963784,237149.09220862124
36,1032.23491771 pix,1012.09447717 pix,0037,509.68973156551925,219923.8987423643
37,1032.11625413 pix,1012.16390293 pix,0038,510.21553319072615,220609.17687049665
38,1032.06761023 pix,1013.04846002 pix,0039,526.732053019067,266649.4854464259
39,1032.002648 pix,1012.0651076 pix,0040,531.3055394210608,282924.2459213821
40,1032.24077956 pix,1012.86407134 pix,0041,526.5200041443077,270095.79434306733
41,1033.14781426 pix,1012.87065487 pix,0042,537.7848940162045,297985.8296516792
42,1033.23707746 pix,1012.89492064 pix,0043,538.5972656716132,301786.8445091521
43,1033.08537355 pix,1012.07743667 pix,0044,544.1884095907299,322882.56314684264
44,1033.82277789 pix,1012.04767376 pix,0045,543.5889205332803,320044.234900738
45,1033.09902282 pix,1011.15435603 pix,0046,546.1286226348458,326853.19324632525
46,1033.14390725 pix,1011.16386543 pix,0047,549.9053274979171,347165.63042734057
47,1032.9855482 pix,1011.09844759 pix,0048,553.4282246061791,355350.2425881786
48,1033.00772938 pix,1010.0490282 pix,0049,548.751976015207,343876.08380943094
49,1033.97706247 pix,1010.12175999 pix,0050,543.0300548825195,327499.227666641
50,1033.8566219 pix,1009.14050485 pix,0051,541.6830916691528,327795.18744592293
51,1033.86964662 pix,1009.9842505 pix,0052,546.8140260922024,335888.42042442586
52,1033.8800719 pix,1010.85569455 pix,0053,549.3160958268517,341359.0602962024
53,1034.05910674 pix,1011.12467128 pix,0054,546.1078776283181,336564.38528195117
54,1034.93546997 pix,1010.92773847 pix,0055,547.6734131818474,342461.55437116924
55,1034.1669431 pix,1011.11428828 pix,0056,540.7644787411822,320184.2724583349
56,1034.11621751 pix,1009.88375276 pix,0057,538.0446270203832,308383.7588671868
57,1034.8964831 pix,1009.05156365 pix,0058,540.0836759975404,318430.4797340408
58,1034.83487056 pix,1009.99304473 pix,0059,546.6591955251426,338254.0953130764
59,1034.93938854 pix,1009.93489346 pix,0060,553.2947815489106,356948.81863715197
60,1035.12085989 pix,1009.95356557 pix,0061,553.5014699235128,360584.8853647466
61,1035.06383329 pix,1009.24539719 pix,0062,549.046896161605,342671.5023857248
62,1035.82473015 pix,1009.16311312 pix,0063,542.0968397489536,322267.56993470225
63,1035.87450389 pix,1009.10742736 pix,0064,541.499287625942,320103.0448648763
64,1035.17747446 pix,1010.00195601 pix,0065,528.6697792978046,289095.13846270123
65,1035.77401467 pix,1009.8887906 pix,0066,525.7156708291765,267907.31146011536
66,1036.11217311 pix,1009.07152676 pix,0067,521.79247277223,255953.47409145767
67,1036.20814212 pix,1009.00265964 pix,0068,536.6326156035,298669.74744701234
68,1036.88717225 pix,1008.92479541 pix,0069,529.679783564887,277543.95501231804
69,1036.87581054 pix,1009.00318345 pix,0070,527.2901088789023,269293.32639239705
70,1035.21372285 pix,1008.17138675 pix,0071,538.7063557027083,301412.16603993974
71,1036.10513612 pix,1007.14116311 pix,0072,532.2549111612279,287355.99188761786
72,1036.06582038 pix,1007.90823524 pix,0073,512.5330533960685,230851.2837300197
73,1036.08078319 pix,1006.84071569 pix,0074,513.2697712934315,224732.3677861765
74,1036.0139835 pix,1006.81128326 pix,0075,514.4970386224546,228279.3361638438
75,1036.78310239 pix,1007.13132734 pix,0076,513.0803347717978,221342.99710289954
76,1036.00975084 pix,1006.81914402 pix,0077,500.5170870909701,173273.0776075081
77,1036.17133448 pix,1006.04891621 pix,0078,512.5566700541983,220188.7329330726
78,1036.08853581 pix,1005.87042094 pix,0079,518.3345193555808,244586.2940871559
79,1036.06305336 pix,1005.8457351 pix,0080,523.0792456730085,264935.3234955616
80,1035.86330814 pix,1005.95268097 pix,0081,527.2685489206842,273614.5840020147
81,1036.10116295 pix,1005.06279343 pix,0082,525.1254092869083,270025.8424143605
82,1036.78377402 pix,1005.80569601 pix,0083,522.2213788508462,262877.7877723011
83,1036.21364167 pix,1004.99516781 pix,0084,520.3706678177365,243701.43688964826
84,1036.82472339 pix,1005.18750623 pix,0085,489.29965416653164,135844.94663442217
85,1036.07207111 pix,1005.14169867 pix,0086,490.1930744247677,152724.69638963227
86,1036.78856307 pix,1004.96577162 pix,0087,489.9432037389307,142753.49374989682
87,1036.22130231 pix,1004.93927177 pix,0088,483.8524939576689,118314.45116698311
88,1036.91697596 pix,1004.89879162 pix,0089,480.0325634635373,94362.27704663062
89,1037.06789078 pix,1004.07262904 pix,0090,493.00273562804057,150822.09868761624
90,1037.86864868 pix,1004.87181684 pix,0091,499.69485532101396,177656.60282483744
91,1037.77766636 pix,1004.87501302 pix,0092,504.33578851253446,203901.9357838197
92,1038.85173537 pix,1004.82282246 pix,0093,494.3155924818432,168978.21169422532
93,1038.17895952 pix,1004.11405701 pix,0094,496.1078056702949,168221.15180097427
94,1038.05731055 pix,1003.93965506 pix,0095,497.8465085683466,179359.80117249797
95,1037.94811081 pix,1003.99680962 pix,0096,503.51779697932136,200117.86712842036
96,1038.97670158 pix,1003.95519973 pix,0097,515.6774047481379,240440.86760363675
97,1038.94277581 pix,1004.03101865 pix,0098,501.3909454633643,200296.59096584236
98,1038.97607799 pix,1003.925868 pix,0099,495.8824256582972,183360.08721024747
99,1038.93423505 pix,1004.18769201 pix,0100,513.3239851178928,222240.46509586176
100,1039.92893886 pix,1004.93430979 pix,0101,518.12327360572,242759.5567754176
101,1039.24226576 pix,1004.8758397 pix,0102,505.09475690051465,205602.2795463258
102,1039.20317833 pix,1004.12066095 pix,0103,522.2634711838585,265672.0983742524
103,1039.82846977 pix,1004.90100822 pix,0104,501.71323842350506,195061.5278676111
104,1039.17470579 pix,1004.19403087 pix,0105,496.6548976009432,163448.60411558548
105,1038.9580067 pix,1004.14331631 pix,0106,505.01640727458266,198388.34635369666
106,1039.94699346 pix,1004.81667374 pix,0107,507.63562553538014,206249.7162996937
107,1039.84518637 pix,1004.91985447 pix,0108,501.3624752791591,185190.90697377198
108,1039.84035142 pix,1004.99637401 pix,0109,498.63672122740235,190736.5745899666
109,1039.97124028 pix,1005.81908779 pix,0110,502.8923859725632,201344.25399770046
110,1040.0431016 pix,1004.92512896 pix,0111,504.42015620412263,201562.427289083
111,1039.93901503 pix,1005.0838555 pix,0112,501.95570503841986,197572.8271462156
112,1040.82882493 pix,1004.85590094 pix,0113,496.1594893701158,172599.1380052517
113,1040.16431301 pix,1003.94011739 pix,0114,488.533231858681,145121.50299351622
114,1040.09647863 pix,1003.08213501 pix,0115,488.6160005069263,128470.76614326991
115,1040.23263383 pix,1002.90889573 pix,0116,491.9419545812192,117387.42244756647
116,1040.88656683 pix,1001.94826572 pix,0117,489.77112255744856,104743.90521651192
117,1040.17314472 pix,1002.16979144 pix,0118,490.1911878251773,113999.65827699899
118,1041.03800331 pix,1002.00370971 pix,0119,490.14024098001323,116781.21952088925
119,1041.02893626 pix,1001.99571162 pix,0120,490.3826477251569,115966.74633691652
120,1040.83949896 pix,1003.05366904 pix,0121,490.3957419773995,105294.22622072493
121,1040.93232548 pix,1001.91354668 pix,0122,489.65233252073637,97794.5196708747
122,1040.12833404 pix,1001.20412639 pix,0123,495.66830693195107,97451.53889660403
123,1040.19815145 pix,1000.83929377 pix,0124,488.56164141743886,84321.2940003251
124,1040.12703567 pix,1001.04720631 pix,0125,495.52058937943485,90557.47107562078
125,1039.84713948 pix,1000.88163189 pix,0126,489.14216858112184,87331.92056349918
126,1040.893279 pix,1000.96289861 pix,0127,487.6179314467221,87441.59978327938
127,1041.00141688 pix,1001.02571785 pix,0128,492.16420290286794,95323.33640944917
128,1041.84938547 pix,1001.08409466 pix,0129,492.42733533223833,74292.7383074394
129,1041.80471167 pix,1001.83230938 pix,0130,495.6721575655117,66846.1414761453
130,1041.93680514 pix,1000.85072466 pix,0131,496.92914768661433,62592.25436639408
131,1042.13771688 pix,1000.99250691 pix,0132,494.28957067720626,77976.62664438828
132,1042.84839444 pix,1001.08835472 pix,0133,498.4564517532874,91052.48191934866
133,1043.12707568 pix,1000.89494395 pix,0134,492.8893776118794,108692.27446571259
134,1043.8972494 pix,1001.15863948 pix,0135,496.09480997339546,126082.72886632528
135,1043.08161365 pix,1001.94291648 pix,0136,496.3294107166194,122176.27117600746
136,1043.94095095 pix,1002.02769975 pix,0137,492.388855195431,112959.04114081323
137,1044.0523226 pix,1001.83035175 pix,0138,496.76736590142707,150216.3643785913
138,1044.1495153 pix,1001.87481859 pix,0139,502.07427468133415,170988.22800257822
139,1044.1820237 pix,1000.9926457 pix,0140,501.9245934391206,175375.49463173008
140,1044.98373065 pix,1001.11528793 pix,0141,501.10519123686316,182079.83556140715
141,1044.07468397 pix,1001.18595985 pix,0142,508.3622593495403,212078.5368277195
