,y,x,image,flux_e,flux
0,954.036214513 pix,1000.99618075 pix,0001,356.25755715595557,3926.188423215539
1,954.294620017 pix,1000.07070803 pix,0004,354.13489723147904,4290.603794530085
2,953.766476121 pix,999.494644475 pix,0005,352.46338055695406,3995.923921364075
3,954.196084935 pix,998.00618137 pix,0006,347.3325873323541,4400.9166712440365
4,954.687035723 pix,998.752888804 pix,0007,347.85559247944065,4785.211144273204
5,954.377936862 pix,998.518171718 pix,0008,342.05592142842175,4771.272579036382
6,954.081627628 pix,997.931838791 pix,0009,342.43320040261864,5303.494783507553
7,955.219144792 pix,998.040188966 pix,0015,365.17783765467595,3372.463815704913
8,955.983799732 pix,996.909877203 pix,0018,375.85480183763934,3386.6020945040646
9,955.661018254 pix,996.195477931 pix,0019,376.18133953529605,3738.975993635363
10,955.915992731 pix,996.006832895 pix,0020,379.34692567502407,2867.4305348290727
11,955.981754556 pix,996.621554794 pix,0021,381.3695945740019,2874.2814742005103
12,957.869801217 pix,994.290303015 pix,0030,384.23965243004255,3212.286378573397
13,957.348818722 pix,994.930226641 pix,0033,374.5173162919624,3510.7529881834807
14,957.383519083 pix,993.010122337 pix,0040,365.39825129236414,3853.760949046765
15,958.979456936 pix,992.951532582 pix,0044,353.96948530576856,3897.3734630999224
16,958.740016338 pix,991.984331889 pix,0046,354.6051412634014,4337.489647262804
17,958.786803136 pix,992.08986188 pix,0047,347.8518485004628,4232.759242757858
18,958.731457157 pix,991.940575555 pix,0048,344.0961369682673,4317.826237109667
19,958.244958761 pix,990.165359777 pix,0049,345.91533825628125,3362.8135974796983
20,959.731881685 pix,990.908366431 pix,0050,349.5345473592511,4524.986855310747
21,959.054942992 pix,989.314398015 pix,0051,348.0629002014352,3618.3351534194426
22,959.07653694 pix,990.270764164 pix,0052,348.5674780093252,4026.0748428569195
23,959.291918561 pix,990.993583376 pix,0053,348.33765275684806,4132.293360004738
24,959.992824298 pix,991.151851195 pix,0055,343.7367667747359,4239.644768889848
25,959.946489476 pix,990.114937429 pix,0057,354.64054545096104,3821.4265573654375
26,960.541024998 pix,989.739678867 pix,0058,350.15608352044313,4061.4854239593737
27,960.158261867 pix,990.149027259 pix,0059,346.4174721042508,3716.26641677235
